Tahun,Provinsi,Kabupaten/Kota,Per day (ton),Per year (ton),,https://sipsn.menlhk.go.id/sipsn/public/data/timbulan
2021,Sumatera Utara,Kab. Langkat,519.69,"189,685.76",,
2021,Sumatera Utara,Kab. Karo,226.80,"82,781.59",,
2021,Sumatera Utara,Kab. Deli Serdang,"1,118.16","408,129.86",,
2021,Sumatera Utara,Kab. Simalungun,519.06,"189,456.90",,
2021,Sumatera Utara,Kab. Asahan,466.58,"170,300.09",,
2021,Sumatera Utara,Kab. Toba,85.40,"31,170.85",,
2021,Sumatera Utara,Kota Medan,"1,767.16","645,012.56",,
2021,Sumatera Utara,Kota Pematang Siantar,233.02,"85,052.00",,
2021,Sumatera Utara,Kota Tebing Tinggi,123.50,"45,077.61",,
2022,Sumatera Utara,Kab. Tapanuli Tengah,184.65,"67,397.25",,
2022,Sumatera Utara,Kab. Nias,58.28,"21,272.35",,
2022,Sumatera Utara,Kab. Langkat,521.44,"190,323.78",,
2022,Sumatera Utara,Kab. Deli Serdang,"1,126.61","411,211.01",,
2022,Sumatera Utara,Kab. Simalungun,510.81,"186,444.74",,
2022,Sumatera Utara,Kab. Asahan,472.78,"172,564.99",,
2022,Sumatera Utara,Kab. Toba,96.05,"35,059.00",,
2022,Sumatera Utara,Kab. Humbang Hasundutan,59.33,"21,653.73",,
2022,Sumatera Utara,Kota Medan,"1,722.60","628,749.22",,
2022,Sumatera Utara,Kota Pematang Siantar,241.43,"88,121.44",,
2022,Sumatera Utara,Kota Tebing Tinggi,124.63,"45,488.20",,
2022,Sumatera Utara,Kota Padangsidimpuan,161.82,"59,065.98",,
